provider,dataProvider,title,collection,description,creator,publisher,contributor,type,identifier,language,temporal,spatial,subject,date,extent,format,standardizedRights,relation,isShownAt,preview,count
Biodiversity Heritage Library,Tasmanian Field Naturalists Club,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.1724137931034483,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,29
California Digital Library,"Stanford University, Manuscripts Division",1.0,1.0,0.17557251908396945,0.16793893129770993,0.8778625954198473,0.022900763358778626,1.0,1.0,0.061068702290076333,0.007633587786259542,0.17557251908396945,0.22900763358778625,0.3282442748091603,0.0,0.8702290076335878,0.0,0.1450381679389313,1.0,0.9847328244274809,131
Digital Commonwealth,"Fitchburg State University, Gallucci-Cirio Library",1.0,1.0,1.0,0.13052522100884034,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1923
Digital Commonwealth,Palmer Public Library,1.0,1.0,1.0,0.029411764705882353,0.0,0.0,1.0,1.0,0.14705882352941177,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,34
Digital Library of Georgia,Georgia Military College,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,20
Digital Library of Georgia,Lee County Library System (Ga.),1.0,1.0,1.0,2.380952380952381E-4,0.0,0.0,1.0,0.0,2.380952380952381E-4,0.0,1.0,1.0,1.0,0.0,2.380952380952381E-4,0.0,0.0,1.0,1.0,4200
Digital Library of Tennessee,"Chickamauga and Chattanooga National Military Park, Fort Oglethorpe, Georgia",1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,3
Digital Library of Tennessee,"Fisk University, John Hope and Aurelia E. Franklin Library, Special Collections, Thomas E. Jones Collection, Box 51, folder 7",1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1
Digital Library of Tennessee,Michigan State University Museum,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1
Digital Maryland,Charles County Public Library,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,24
